source,month,n
assabah,2010-10,180
assabah,2010-11,170
assabah,2010-12,196
assabah,2011-01,182
assabah,2011-02,182
assabah,2011-03,223
assabah,2011-04,185
assabah,2011-05,187
assabah,2011-06,207
assabah,2011-07,189
assabah,2011-08,164
assabah,2011-09,214
assabah,2011-10,197
assabah,2011-11,188
assabah,2011-12,221
assabah,2012-01,195
assabah,2012-02,211
assabah,2012-03,192
assabah,2012-04,188
assabah,2012-05,204
assabah,2012-06,196
assabah,2012-07,204
assabah,2012-08,190
assabah,2012-09,193
assabah,2012-10,181
assabah,2012-11,217
assabah,2012-12,200
assabah,2013-01,217
assabah,2013-02,233
assabah,2013-03,232
assabah,2013-04,233
assabah,2013-05,268
assabah,2013-06,262
assabah,2013-07,325
assabah,2013-08,206
assabah,2013-09,231
assabah,2013-10,241
assabah,2013-11,188
assabah,2013-12,83
assabah,2014-01,257
assabah,2014-02,230
assabah,2014-03,168
assabah,2014-04,255
assabah,2014-05,183
assabah,2014-06,206
assabah,2014-07,270
assabah,2014-08,287
assabah,2014-09,263
assabah,2014-10,254
assabah,2014-11,203
assabah,2014-12,115
assabah,2015-01,298
assabah,2015-02,255
assabah,2015-03,265
assabah,2015-04,251
assabah,2015-05,259
assabah,2015-06,313
assabah,2015-07,326
assabah,2015-08,288
assabah,2015-09,266
assabah,2015-10,266
assabah,2015-11,232
assabah,2015-12,315
assabah,2016-01,304
assabah,2016-02,304
assabah,2016-03,336
assabah,2016-04,327
assabah,2016-05,288
assabah,2016-06,291
assabah,2016-07,217
assabah,2016-08,309
assabah,2016-09,261
assabah,2016-10,326
assabah,2016-11,353
assabah,2016-12,356
assabah,2017-01,346
assabah,2017-02,343
assabah,2017-03,363
assabah,2017-04,319
assabah,2017-05,335
assabah,2017-06,326
assabah,2017-07,369
assabah,2017-08,341
assabah,2017-09,287
assabah,2017-10,394
assabah,2017-11,423
assabah,2017-12,420
assabah,2018-01,450
assabah,2018-02,323
assabah,2018-03,340
assabah,2018-04,292
assabah,2018-05,318
assabah,2018-06,298
assabah,2018-07,379
assabah,2018-08,308
assabah,2018-09,330
assabah,2018-10,353
assabah,2018-11,312
assabah,2018-12,334
assabah,2019-01,374
assabah,2019-02,321
assabah,2019-03,356
assabah,2019-04,296
assabah,2019-05,385
assabah,2019-06,341
assabah,2019-07,423
assabah,2019-08,304
assabah,2019-09,420
assabah,2019-10,401
assabah,2019-11,347
assabah,2019-12,381
assabah,2020-01,400
assabah,2020-02,397
assabah,2020-03,382
assabah,2020-04,364
assabah,2020-05,291
assabah,2020-06,378
assabah,2020-07,396
assabah,2020-08,294
assabah,2020-09,353
assabah,2020-10,352
assabah,2020-11,307
assabah,2020-12,399
assabah,2021-01,376
assabah,2021-02,365
assabah,2021-03,406
assabah,2021-04,408
assabah,2021-05,355
assabah,2021-06,374
assabah,2021-07,328
assabah,2021-08,357
assabah,2021-09,362
assabah,2021-10,328
assabah,2021-11,353
assabah,2021-12,356
assabah,2022-01,341
assabah,2022-02,318
assabah,2022-03,352
assabah,2022-04,335
assabah,2022-05,321
assabah,2022-06,337
assabah,2022-07,250
assabah,2022-08,256
assabah,2022-09,355
assabah,2022-10,268
assabah,2022-11,166
assabah,2022-12,221
assabah,2023-01,312
assabah,2023-02,284
assabah,2023-03,346
assabah,2023-04,259
assabah,2023-05,325
assabah,2023-06,283
assabah,2023-07,307
assabah,2023-08,330
assabah,2023-09,313
assabah,2023-10,329
assabah,2023-11,315
assabah,2023-12,308
assabah,2024-01,342
assabah,2024-02,325
assabah,2024-03,326
assabah,2024-04,290
assabah,2024-05,330
assabah,2024-06,284
assabah,2024-07,322
assabah,2024-08,299
assabah,2024-09,315
assabah,2024-10,357
assabah,2024-11,303
assabah,2024-12,345
assabah,2025-01,336
assabah,2025-02,307
assabah,2025-03,321
assabah,2025-04,301
assabah,2025-05,316
assabah,2025-06,285
assabah,2025-07,325
assabah,2025-08,312
assabah,2025-09,340
assabah,2025-10,353
assabah,2025-11,284
assabah,2025-12,364
assabah,2026-01,332
assabah,2026-02,315
assabah,2026-03,346
assabah,2026-04,368
assabah,2026-05,241
assabah,2026-06,216
assabah,2026-07,246
assabah,2026-08,115
economist_tunisia_all,1997-04,1
economist_tunisia_all,1997-06,1
economist_tunisia_all,1997-09,1
economist_tunisia_all,1997-10,2
economist_tunisia_all,1998-01,1
economist_tunisia_all,1998-06,1
economist_tunisia_all,1998-07,1
economist_tunisia_all,1998-10,1
economist_tunisia_all,1999-03,1
economist_tunisia_all,1999-06,1
economist_tunisia_all,1999-10,1
economist_tunisia_all,2000-01,1
economist_tunisia_all,2000-03,1
economist_tunisia_all,2000-04,4
economist_tunisia_all,2000-05,1
economist_tunisia_all,2000-10,1
economist_tunisia_all,2000-11,1
economist_tunisia_all,2001-02,1
economist_tunisia_all,2001-06,2
economist_tunisia_all,2001-08,2
economist_tunisia_all,2002-04,1
economist_tunisia_all,2002-06,1
economist_tunisia_all,2002-07,2
economist_tunisia_all,2002-08,1
economist_tunisia_all,2002-09,1
economist_tunisia_all,2002-10,1
economist_tunisia_all,2003-03,1
economist_tunisia_all,2003-08,2
economist_tunisia_all,2003-10,1
economist_tunisia_all,2004-01,1
economist_tunisia_all,2004-03,3
economist_tunisia_all,2004-04,3
economist_tunisia_all,2004-05,1
economist_tunisia_all,2004-06,1
economist_tunisia_all,2004-07,1
economist_tunisia_all,2004-08,1
economist_tunisia_all,2004-09,1
economist_tunisia_all,2004-10,3
economist_tunisia_all,2005-05,1
economist_tunisia_all,2005-08,1
economist_tunisia_all,2005-11,4
economist_tunisia_all,2005-12,1
economist_tunisia_all,2006-04,2
economist_tunisia_all,2006-05,1
economist_tunisia_all,2006-06,2
economist_tunisia_all,2006-07,2
economist_tunisia_all,2006-08,1
economist_tunisia_all,2007-01,2
economist_tunisia_all,2007-02,2
economist_tunisia_all,2007-04,1
economist_tunisia_all,2007-05,1
economist_tunisia_all,2007-06,1
economist_tunisia_all,2007-07,2
economist_tunisia_all,2007-08,1
economist_tunisia_all,2007-09,2
economist_tunisia_all,2007-10,1
economist_tunisia_all,2007-11,1
economist_tunisia_all,2007-12,2
economist_tunisia_all,2008-02,5
economist_tunisia_all,2008-03,1
economist_tunisia_all,2008-04,1
economist_tunisia_all,2008-05,5
economist_tunisia_all,2008-06,2
economist_tunisia_all,2008-07,1
economist_tunisia_all,2008-08,3
economist_tunisia_all,2008-09,1
economist_tunisia_all,2008-10,1
economist_tunisia_all,2008-11,3
economist_tunisia_all,2008-12,1
economist_tunisia_all,2009-01,1
economist_tunisia_all,2009-02,2
economist_tunisia_all,2009-03,2
economist_tunisia_all,2009-04,1
economist_tunisia_all,2009-05,1
economist_tunisia_all,2009-08,1
economist_tunisia_all,2009-09,2
economist_tunisia_all,2009-10,2
economist_tunisia_all,2009-12,2
economist_tunisia_all,2010-02,3
economist_tunisia_all,2010-03,6
economist_tunisia_all,2010-04,2
economist_tunisia_all,2010-05,4
economist_tunisia_all,2010-06,1
