source,first_month,last_month,n_months_total,n_months_zero,cliff_months,spike_months,usable_window_start_month,date_min,date_max,calendar_zero_day_share_TODO_needs_trading_calendar
assabah,2010-10,2026-08,191,0,,,2010-10,2010-10-07,2026-08-14,0.1925
economist_tunisia_all,1997-04,2026-09,354,103,"2013-08,2023-07","2011-01,2011-02,2011-03,2011-04,2011-05,2011-07,2013-05,2013-06,2013-11,2015-11,2023-11,2025-02,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09",2020-05,1997-04-10,2026-09-16,0.9275
economist_tunisia_economy,1997-04,2026-09,354,149,,"2011-01,2011-02,2011-03,2025-02,2025-08,2025-09,2025-10,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09",2024-02,1997-04-10,2026-09-16,0.9508
guardian_tunisia,2004-10,2026-04,259,70,"2011-04,2011-07,2011-12,2012-08,2012-11,2013-08,2015-01,2015-02,2015-04,2015-05,2015-08,2015-09,2016-02,2016-04,2017-03,2017-04,2018-03,2018-04,2021-03,2023-11","2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-10,2011-11,2011-12,2012-01,2012-02,2012-04,2012-06,2012-09,2012-10,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2014-10,2014-12,2015-03,2015-06,2015-07,2015-10,2015-12,2016-01,2016-06,2016-12,2017-01,2017-02,2018-01,2019-09,2020-12,2021-07,2023-03,2023-04,2023-05,2023-07,2023-08,2025-09",2026-01,2004-10-05,2026-04-17,0.9088
ilboursa,2014-01,2026-09,153,0,,,2014-01,2014-01-02,2026-09-15,0.1728
kapitalis,2015-05,2026-09,137,0,,,2015-05,2015-05-12,2026-09-15,0.0543
lapresse,2019-04,2026-09,90,7,"2021-12,2024-05","2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09",2020-10,2019-04-11,2026-09-15,0.5105
leconomistmaghrebin,2013-12,2026-09,154,0,2018-02,,2013-12,2013-12-07,2026-09-15,0.0907
nyt_economy,2024-10,2026-09,24,0,,2025-04,2024-10,2024-10-31,2026-09-15,0.3343
tap,2026-08,2026-09,2,0,,,2026-08,2026-08-16,2026-09-15,0.0
