source,headline,published_date,headline_hash
economist_tunisia_all,Take my life but not my privileges,1997-04-10,00468567ee49830e55f66f4a245d1acf73b5d5ab
economist_tunisia_economy,Take my life but not my privileges,1997-04-10,00468567ee49830e55f66f4a245d1acf73b5d5ab
economist_tunisia_all,Why are foreigners flocking to China for health care?,2026-04-14,006d7635cfed49e65a3cb13d94e8fe51c4735bdc
economist_tunisia_economy,Why are foreigners flocking to China for health care?,2026-04-14,006d7635cfed49e65a3cb13d94e8fe51c4735bdc
economist_tunisia_all,Sheratongate,2013-01-08,00751bd6876d6a08d117562e2a3cad364ed2a773
economist_tunisia_economy,Sheratongate,2013-01-08,00751bd6876d6a08d117562e2a3cad364ed2a773
economist_tunisia_economy,Carbon emissions from tourism are rising disproportionately fast,2024-12-11,00daa426fa69a310ab08483f8489492790002889
economist_tunisia_all,Carbon emissions from tourism are rising disproportionately fast,2024-12-11,00daa426fa69a310ab08483f8489492790002889
economist_tunisia_all,Scott Bessent takes on the bond market,2026-08-27,0101562ca29164f79ee408bcfc982907e767c56d
economist_tunisia_economy,Scott Bessent takes on the bond market,2026-08-27,0101562ca29164f79ee408bcfc982907e767c56d
economist_tunisia_all,How has the IMF fared during the pandemic?,2021-04-03,01091b0ef1bc6c5928fedc3579725892ee15b5ca
economist_tunisia_economy,How has the IMF fared during the pandemic?,2021-04-03,01091b0ef1bc6c5928fedc3579725892ee15b5ca
kapitalis,Zitouna Pay et Payvago intègrent le système tunisien de télécompensation interbancaire,2024-05-03,010a6ea95e90741ada689a2d0144d3e82f168618
leconomistmaghrebin,Zitouna Pay et Payvago intègrent le système tunisien de télécompensation interbancaire,2024-05-02,010a6ea95e90741ada689a2d0144d3e82f168618
economist_tunisia_all,Can Andy Burnham fix Britain’s broken finances?,2026-07-23,011e56154ef5c38c62691d8746a1fdad559579cb
economist_tunisia_economy,Can Andy Burnham fix Britain’s broken finances?,2026-07-23,011e56154ef5c38c62691d8746a1fdad559579cb
economist_tunisia_economy,Greater expectations?,2011-02-03,019a392711f8a1b8f08a2513d40ffc489b7854a2
economist_tunisia_all,Greater expectations?,2011-02-03,019a392711f8a1b8f08a2513d40ffc489b7854a2
