source,file,file_count,row_count,size_bytes,extraction_date_mtime,scraper_script,scraper_commit
assabah,assabah_headlines.csv,1,56292,4551268,2026-09-20T14:13:39.582596779,scrape_assabah.py,c1b7b3b
economist_tunisia_all,economist_tunisia_all.csv,1,1197,62463,2026-09-20T14:13:39.585788488,scrape_economist_tunisia.py,c1b7b3b
economist_tunisia_economy,economist_tunisia_economy.csv,1,746,40346,2026-09-20T14:13:39.585408688,scrape_economist_tunisia.py,c1b7b3b
guardian_tunisia,guardian_tunisia_headlines.csv,1,1204,89082,2026-09-20T14:13:39.584565639,scrape_guardian.py,c1b7b3b
ilboursa,ilboursa_headlines.csv,1,26596,2369654,2026-09-20T14:13:39.592596531,scrape_ilboursa.py,c1b7b3b
kapitalis,kapitalis_headlines.csv,1,18000,1494382,2026-09-20T14:13:39.595596552,scrape_kapitalis.py,c1b7b3b
lapresse,lapressheadlines.csv,1,6741,623173,2026-09-20T14:13:39.586256742,MISSING,NO_SCRIPT
leconomistmaghrebin,leconomistmaghrebin_headlines.csv,1,24698,2073040,2026-09-20T14:13:39.588596582,leconomistemaghrebin_Scraper.py,c1b7b3b
nyt_economy,nyt_economy_headlines.csv,1,1100,82300,2026-09-20T14:13:39.593914509,scrape_nyt_economy.py,c1b7b3b
tap,tap_headlines.csv,1,283,30911,2026-09-20T14:13:39.576596975,scrape_tap.py,c1b7b3b
bvmt_ohlcv,bvmt/ALL_DATA.csv,1,187987,9134849,2026-09-20T14:13:39.604596376,"MISSING (obtained out-of-band, no script in repo)",NO_SCRIPT
bvmt_ticker_names,bvmt/sotcks_list.csv,1,88,1503,2026-09-20T14:13:39.606875420,"MISSING (obtained out-of-band, no script in repo)",NO_SCRIPT
bvmt_market_cap,bvmt/stocks_market_cap.csv,1,88,1006,2026-09-20T14:13:39.607186317,"MISSING (obtained out-of-band, no script in repo)",NO_SCRIPT
bvmt_tunindex,bvmt/tunindex_2010_today.csv,1,4167,212271,2026-09-20T14:13:39.607596159,scrape_tunindex.py,2ae3352
