source,langdetect_guess,n
assabah,ar,56076
assabah,fa,199
assabah,ur,17
economist_tunisia_all,af,9
economist_tunisia_all,ca,7
economist_tunisia_all,cs,1
economist_tunisia_all,cy,4
economist_tunisia_all,da,9
economist_tunisia_all,de,9
economist_tunisia_all,en,1058
economist_tunisia_all,es,9
economist_tunisia_all,et,3
economist_tunisia_all,fi,4
economist_tunisia_all,fr,13
economist_tunisia_all,id,5
economist_tunisia_all,it,12
economist_tunisia_all,lt,1
economist_tunisia_all,nl,4
economist_tunisia_all,no,5
economist_tunisia_all,pt,4
economist_tunisia_all,ro,3
economist_tunisia_all,sk,1
economist_tunisia_all,so,9
economist_tunisia_all,sq,2
economist_tunisia_all,sv,7
economist_tunisia_all,tl,17
economist_tunisia_all,tr,1
economist_tunisia_economy,af,2
economist_tunisia_economy,ca,3
economist_tunisia_economy,cs,1
economist_tunisia_economy,cy,1
economist_tunisia_economy,da,6
economist_tunisia_economy,de,3
economist_tunisia_economy,en,673
economist_tunisia_economy,es,7
economist_tunisia_economy,et,3
economist_tunisia_economy,fr,6
economist_tunisia_economy,id,2
economist_tunisia_economy,it,8
economist_tunisia_economy,lt,1
economist_tunisia_economy,nl,1
economist_tunisia_economy,no,1
economist_tunisia_economy,pt,3
economist_tunisia_economy,ro,3
economist_tunisia_economy,so,5
economist_tunisia_economy,sq,1
economist_tunisia_economy,sv,4
economist_tunisia_economy,tl,11
economist_tunisia_economy,tr,1
guardian_tunisia,af,2
guardian_tunisia,ar,14
guardian_tunisia,ca,8
guardian_tunisia,cy,3
guardian_tunisia,da,1
guardian_tunisia,de,2
guardian_tunisia,en,1146
guardian_tunisia,et,2
guardian_tunisia,fi,2
guardian_tunisia,fr,1
guardian_tunisia,id,1
guardian_tunisia,it,9
guardian_tunisia,no,3
guardian_tunisia,pt,3
guardian_tunisia,ro,5
guardian_tunisia,sv,2
ilboursa,af,13
ilboursa,ca,103
ilboursa,da,1
ilboursa,de,11
ilboursa,en,126
ilboursa,es,67
ilboursa,et,1
ilboursa,fr,26168
ilboursa,id,7
ilboursa,it,48
ilboursa,nl,25
ilboursa,no,1
ilboursa,pt,1
ilboursa,ro,21
ilboursa,sl,1
ilboursa,so,1
ilboursa,sw,1
kapitalis,af,14
kapitalis,ca,103
kapitalis,cy,1
kapitalis,da,2
kapitalis,de,27
kapitalis,en,125
kapitalis,es,18
kapitalis,et,1
kapitalis,fi,4
kapitalis,fr,17578
kapitalis,id,15
kapitalis,it,47
kapitalis,nl,28
kapitalis,no,4
kapitalis,pt,6
kapitalis,ro,24
kapitalis,sl,1
kapitalis,sv,1
kapitalis,tl,1
lapresse,ca,263
lapresse,cy,1
lapresse,de,3
lapresse,en,107
lapresse,es,51
lapresse,fr,6293
lapresse,it,10
lapresse,nl,1
lapresse,pt,8
lapresse,ro,4
leconomistmaghrebin,af,13
leconomistmaghrebin,ca,113
leconomistmaghrebin,da,3
leconomistmaghrebin,de,31
leconomistmaghrebin,en,83
leconomistmaghrebin,es,39
leconomistmaghrebin,et,1
leconomistmaghrebin,fi,4
leconomistmaghrebin,fr,24302
leconomistmaghrebin,hr,1
leconomistmaghrebin,id,7
leconomistmaghrebin,it,46
leconomistmaghrebin,lt,1
leconomistmaghrebin,nl,17
leconomistmaghrebin,no,4
leconomistmaghrebin,pt,9
leconomistmaghrebin,ro,16
leconomistmaghrebin,sl,2
leconomistmaghrebin,so,1
leconomistmaghrebin,sv,2
leconomistmaghrebin,sw,2
leconomistmaghrebin,tr,1
nyt_economy,ca,1
nyt_economy,de,3
nyt_economy,en,1093
nyt_economy,nl,2
nyt_economy,no,1
tap,fr,283
