source,row_id,headline,date_raw,published_date,langdetect_guess,language (FR/MSA/Tunisian/Arabizi/EN/mixed -- fill by hand),about_tunisian_economy Y/N (fill by hand),about_global_economy Y/N (fill by hand),headline_extracted_correctly Y/N (fill by hand),stored_date_matches_site Y/N (fill by hand)
assabah,assabah::48156,الاستماع إلى مدير التجهيز والنقل بأكادير,21 يناير 2014,2014-01-21,ar,,,,,
assabah,assabah::12340,السراح لمستشار متهم بالنصب,23 مايو 2023,2023-05-23,ar,,,,,
assabah,assabah::40678,مطاردة قارب بارون مخدرات بسلا,6 يونيو 2016,2016-06-06,ar,,,,,
assabah,assabah::8537,محاكمة جديدة للرئيس السابق لمجي,23 مايو 2024,2024-05-23,ar,,,,,
assabah,assabah::41440,60 سنة لقتلة موظف قطعوا جثته بتمارة,23 مارس 2016,2016-03-23,ar,,,,,
assabah,assabah::19044,الإجهاض يطيح بممرض بأزرو,31 يوليو 2021,2021-07-31,ar,,,,,
assabah,assabah::40590,الحبس لتلاميذ الباكلوريا بآسفي,16 يونيو 2016,2016-06-16,ar,,,,,
assabah,assabah::36097,انتحار حارس مدرسة بصفرو,11 أغسطس 2017,2017-08-11,ar,,,,,
assabah,assabah::35364,عصابة أفارقة تختطف الحالمين بالهجرة,19 أكتوبر 2017,2017-10-19,ar,,,,,
assabah,assabah::24008,الحبس لمروج مخدرات بالشماعية,15 يونيو 2020,2020-06-15,ar,,,,,
assabah,assabah::35878,اعتقال مغربي اغتصب قاصرا إسبانية,31 أغسطس 2017,2017-08-31,ar,,,,,
assabah,assabah::38348,محامي “الفرسان” يطالب بزيارة الزنازين,24 يناير 2017,2017-01-24,ar,,,,,
assabah,assabah::17063,إيقاف مغتصبي شقيقتهما بالدريوش,21 يناير 2022,2022-01-21,ar,,,,,
assabah,assabah::29589,اعتقال لصوص المنازل بالحسيمة,4 مارس 2019,2019-03-04,ar,,,,,
assabah,assabah::29403,التحقيق مع مستخدمة ومالك موقع إخباري,20 مارس 2019,2019-03-20,ar,,,,,
assabah,assabah::8736,الحبس لـ 29 من جماهير حسنية أكادير,6 مايو 2024,2024-05-06,ar,,,,,
assabah,assabah::48366,إدانة قاتل زوجته بالجديدة,25 ديسمبر 2013,2013-12-25,ar,,,,,
assabah,assabah::33532,إيداع قاتلة ابنيها مستشفى الأمراض العقلية,5 مارس 2018,2018-03-05,ar,,,,,
assabah,assabah::16927,مصرع ستينية بالحاجب,2 فبراير 2022,2022-02-02,ar,,,,,
assabah,assabah::21365,قضاة يلوحون بمقاضاة محامية,26 يناير 2021,2021-01-26,ar,,,,,
assabah,assabah::17814,إعادة انتشار 22 مسؤولا أمنيا جديدا,16 نوفمبر 2021,2021-11-16,ar,,,,,
assabah,assabah::44826,الحبس لمتشددين متهمين بقتل مغربي بفرنسا,29 مارس 2015,2015-03-29,ar,,,,,
assabah,assabah::34996,تطورات اتهام رئيس مجلس بني ملال,15 نوفمبر 2017,2017-11-15,ar,,,,,
assabah,assabah::41624,مراجعة حكم أستاذ هتك عرض قاصر,6 مارس 2016,2016-03-06,ar,,,,,
assabah,assabah::28092,الحبس لمنتج حاول تهريب 3 ملايير,11 يوليو 2019,2019-07-11,ar,,,,,
economist_tunisia_all,economist_tunisia_all::921,An apology to Rachid Ghannouchi,2011-10-22,2011-10-22,en,,,,,
economist_tunisia_all,economist_tunisia_all::321,China is innovative. Its economy is a mess. Which matters more?,2026-06-08,2026-06-08,en,,,,,
economist_tunisia_all,economist_tunisia_all::101,China should be loosening budgetary policy. It’s doing the opposite,2026-08-27,2026-08-27,en,,,,,
economist_tunisia_all,economist_tunisia_all::920,"Crescent moon, waning West",2011-10-29,2011-10-29,en,,,,,
economist_tunisia_all,economist_tunisia_all::58,America has a whopping debt. But Europe has the whopping debt problem,2026-09-03,2026-09-03,en,,,,,
economist_tunisia_all,economist_tunisia_all::790,Real life—on television,2014-07-19,2014-07-19,en,,,,,
economist_tunisia_all,economist_tunisia_all::948,After DSK,2011-06-09,2011-06-09,da,,,,,
economist_tunisia_all,economist_tunisia_all::969,It could be normal,2011-03-31,2011-03-31,en,,,,,
economist_tunisia_all,economist_tunisia_all::410,War is only the starkest way that politics is disrupting tourism,2026-03-19,2026-03-19,en,,,,,
economist_tunisia_all,economist_tunisia_all::1079,Doubling up,2009-02-17,2009-02-17,tl,,,,,
economist_tunisia_all,economist_tunisia_all::572,Geert Wilders’s Dutch election win is a headache for Europe,2023-11-25,2023-11-25,en,,,,,
economist_tunisia_all,economist_tunisia_all::44,The rise of retrofuturism,2026-09-09,2026-09-09,en,,,,,
economist_tunisia_all,economist_tunisia_all::49,What is causing the global bond sell-off?,2026-09-08,2026-09-08,en,,,,,
economist_tunisia_all,economist_tunisia_all::844,A gutsy triumph,2013-05-27,2013-05-27,en,,,,,
economist_tunisia_all,economist_tunisia_all::240,The geopolitics of air-conditioning,2026-07-23,2026-07-23,en,,,,,
economist_tunisia_all,economist_tunisia_all::170,Is the LA Lakers’ sale a sign of sports investment gone mad?,2026-08-13,2026-08-13,en,,,,,
economist_tunisia_all,economist_tunisia_all::732,What is the Arabic for democracy?,2016-05-12,2016-05-12,en,,,,,
